#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
-1.0,4,294.231809
-2.0,3,294.573978
-3.0,2,294.759766
-3.0,2,294.95001
5.0,5,295.371682
5.0,5,295.609006
-2.0,3,295.855607
-1.0,4,296.191749
-3.0,2,296.353679
5.0,5,296.740713
-2.0,3,296.947222
5.0,5,297.220869
-2.0,3,297.486518
4.0,4,297.70741
5.0,5,297.987258
5.0,5,298.324374
-1.702039,4,298.599575
-2.0,3,298.85873
5.0,5,299.26038
5.0,5,299.551554
-1.0,4,299.892858
-2.0,3,300.171546
5.0,5,300.556221
5.0,5,300.876054
5.0,5,301.249912
4.0,4,301.399921
5.0,5,301.747838
4.0,4,302.104493
5.0,5,302.423976
-2.0,3,302.666739
5.0,5,303.017246
5.0,5,303.30544
5.0,5,303.683535
5.0,5,303.996916
-2.468761,3,304.323837
-2.0,3,304.512228
-2.742999,3,304.783465
-2.0,3,304.900898
-2.742999,3,305.157758
5.0,5,305.341569
2.0,3,305.548345
5.0,5,305.95156
5.0,5,306.159944
5.0,5,306.422717
5.0,5,306.737466
-2.175214,3,306.981563
-2.0,3,307.187444
4.0,4,307.486782
5.0,5,308.107836
5.0,5,308.436393
3.0,4,308.637812
5.0,5,308.930917
5.0,5,309.272711
-3.0,2,309.426929
-2.0,3,309.709801
2.0,3,309.843821
-2.0,3,310.096762
-1.0,4,310.275926
4.0,4,310.540131
4.0,4,310.708071
5.0,5,311.03446
-3.0,2,311.252844
5.0,5,311.480568
4.0,4,311.692803
5.0,5,311.979071
2.0,3,312.171666
5.0,5,312.417685
5.0,5,312.756436
-3.0,2,312.937751
5.0,5,313.208486
5.0,5,313.588947
5.0,5,313.936649
5.0,5,314.310861
5.0,5,314.672273
5.0,5,315.047805
-2.0,3,315.180584
5.0,5,315.394823
5.0,5,315.677624
5.0,5,315.919439
5.0,5,316.160175
5.0,5,316.47396
-2.468761,3,316.651908
-2.0,3,316.782501
4.0,4,317.020298
-2.0,3,317.275117
5.0,5,317.676914
-2.175214,3,317.832036
4.0,4,318.08992
-2.468761,3,318.261749
